confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,394,,83A-obg,{},,,56971,56971
,,394,,83A-oji,{},,,49401,49401
,,394,,83A-olo,{},,,46932,46932
,,394,,83A-one,{},,,46921,46921
,,394,,83A-ond,{},,,49852,49852
,,394,,83A-ood,{},,,51750,51750
,,394,,83A-otm,{},,,51122,51122
,,394,,83A-otr,{},,,74890,74890
,,394,,83A-paa,{},,,36491,36491
,,394,,83A-pkn,{},,,48592,48592
,,394,,83A-pms,{},,,44972,44972
,,394,,83A-pai,{},,,42473,42473
,,394,,83A-pal,{},,,42506,42506
,,394,,83A-plg,{},,,42016,42016
,,394,,83A-plk,{},,,53121,53121
,,394,,83A-pam,{},,,51108,51108
,,394,,83A-pnn,{},,,42606,42606
,,394,,83A-png,{},,,33683,33683
,,394,,83A-pre,{},,,33613,33613
,,394,,83A-psm,{},,,49441,49441
,,394,,83A-pat,{},,,43794,43794
,,394,,83A-plh,{},,,43321,43321
,,394,,83A-per,{},,,36376,36376
,,394,,83A-pga,{},,,56797,56797
,,394,,83A-pip,{},,,51940,51940
,,394,,83A-pod,{},,,36139,36139
,,394,,83A-pog,{},,,33660,33660
,,394,,83A-poh,{},,,44753,44753
,,394,,83A-pkt,{},,,35197,35197
,,394,,83A-pol,{},,,38478,38478
,,394,,83A-zqs,{},,,50555,50555
,,394,,83A-psw,{},,,69887,69887
,,394,,83A-por,{},,,38014,38014
,,394,,83A-pul,{},,,44778,44778
,,394,,83A-pur,{},,,52070,52070
,,394,,83A-qui,{},,,49456,49456
,,394,,83A-rag,{},,,65027,65027
,,394,,83A-rap,{},,,45185,45185
,,394,,83A-rim,{},,,33569,33569
,,394,,83A-rom,{},,,37884,37884
,,394,,83A-rwe,{},,,37256,37256
,,394,,83A-rsu,{},,,37934,37934
,,394,,83A-ron,{},,,36451,36451
,,394,,83A-rga,{},,,34276,34276
,,394,,83A-rot,{},,,45041,45041
,,394,,83A-rov,{},,,44404,44404
,,394,,83A-ruk,{},,,42453,42453
,,394,,83A-cos,{},,,50276,50276
,,394,,83A-rny,{},,,33762,33762
,,394,,83A-rru,{},,,33784,33784
,,394,,83A-rus,{},,,38413,38413
,,394,,83A-sno,{},,,38832,38832
,,394,,83A-shp,{},,,50111,50111
,,394,,83A-sah,{},,,46751,46751
,,394,,83A-sak,{},,,44922,44922
,,394,,83A-sal,{},,,50899,50899
,,394,,83A-sle,{},,,57559,57559
,,394,,83A-sam,{},,,45136,45136
,,394,,83A-san,{},,,32287,32287
,,394,,83A-sgu,{},,,33307,33307
,,394,,83A-sap,{},,,42156,42156
,,394,,83A-srd,{},,,37868,37868
,,394,,83A-seb,{},,,35183,35183
,,394,,83A-sed,{},,,42183,42183
,,394,,83A-see,{},,,42442,42442
,,394,,83A-sml,{},,,42265,42265
,,394,,83A-sgl,{},,,33392,33392
,,394,,83A-scr,{},,,38594,38594
,,394,,83A-ses,{},,,34192,34192
,,394,,83A-shm,{},,,33600,33600
,,394,,83A-sha,{},,,42393,42393
,,394,,83A-shs,{},,,50807,50807
,,394,,83A-sht,{},,,34828,34828
,,394,,83A-shl,{},,,34852,34852
,,394,,83A-smp,{},,,71403,71403
,,394,,83A-shn,{},,,34155,34155
,,394,,83A-shu,{},,,49604,49604
,,394,,83A-sir,{},,,44105,44105
,,394,,83A-sim,{},,,43012,43012
,,394,,83A-sio,{},,,43670,43670
,,394,,83A-qum,{},,,72789,72789
,,394,,83A-ssa,{},,,32114,32114
,,394,,83A-sis,{},,,44382,44382
,,394,,83A-siu,{},,,50066,50066
,,394,,83A-slo,{},,,38578,38578
,,394,,83A-so,{},,,35241,35241
,,394,,83A-sob,{},,,43571,43571
,,394,,83A-son,{},,,44822,44822
,,394,,83A-stn,{},,,34182,34182
,,394,,83A-sgb,{},,,46868,46868
,,394,,83A-sea,{},,,67907,67907
,,394,,83A-spa,{},,,37987,37987
,,394,,83A-squ,{},,,49573,49573
,,394,,83A-sre,{},,,42139,42139
,,394,,83A-sti,{},,,42091,42091
,,394,,83A-sud,{},,,43808,43808
,,394,,83A-sku,{},,,74051,74051
,,394,,83A-skm,{},,,33548,33548
,,394,,83A-sul,{},,,47305,47305
,,394,,83A-sun,{},,,42938,42938
,,394,,83A-swa,{},,,33636,33636
,,394,,83A-swt,{},,,34257,34257
,,394,,83A-swe,{},,,38190,38190
,,394,,83A-tab,{},,,43485,43485
,,394,,83A-tbw,{},,,33967,33967
,,394,,83A-tag,{},,,42647,42647
,,394,,83A-tah,{},,,45208,45208
,,394,,83A-taf,{},,,44313,44313
,,394,,83A-tal,{},,,33810,33810
,,394,,83A-tmm,{},,,75421,75421
,,394,,83A-tsk,{},,,71681,71681
,,394,,83A-tan,{},,,36369,36369
,,394,,83A-tas,{},,,35817,35817
,,394,,83A-tat,{},,,42876,42876
,,394,,83A-tsr,{},,,57160,57160
,,394,,83A-tsg,{},,,64990,64990
,,394,,83A-tbo,{},,,42725,42725
,,394,,83A-tmn,{},,,34790,34790
,,394,,83A-tmr,{},,,42250,42250
,,394,,83A-tne,{},,,31815,31815
,,394,,83A-ten,{},,,34611,34611
,,394,,83A-teo,{},,,44343,44343
,,394,,83A-tee,{},,,74175,74175
,,394,,83A-tpn,{},,,51813,51813
,,394,,83A-tps,{},,,51839,51839
,,394,,83A-tep,{},,,50519,50519
,,394,,83A-ter,{},,,36030,36030
,,394,,83A-tes,{},,,35135,35135
,,394,,83A-tet,{},,,72063,72063
,,394,,83A-ttn,{},,,43355,43355
,,394,,83A-ttd,{},,,64823,64823
,,394,,83A-tha,{},,,42397,42397
,,394,,83A-tho,{},,,60550,60550
,,394,,83A-tid,{},,,46725,46725
,,394,,83A-tgk,{},,,44162,44162
,,394,,83A-tia,{},,,64439,64439
,,394,,83A-tim,{},,,42839,42839
,,394,,83A-tin,{},,,44568,44568
,,394,,83A-trm,{},,,56914,56914
,,394,,83A-tiv,{},,,33040,33040
,,394,,83A-tiw,{},,,47466,47466
,,394,,83A-tlp,{},,,51473,51473
,,394,,83A-tob,{},,,57255,57255
,,394,,83A-tke,{},,,56482,56482
,,394,,83A-tla,{},,,44119,44119
,,394,,83A-tno,{},,,42747,42747
,,394,,83A-toz,{},,,61418,61418
,,394,,83A-tng,{},,,45113,45113
,,394,,83A-txj,{},,,50499,50499
,,394,,83A-tri,{},,,57710,57710
,,394,,83A-tsi,{},,,49960,49960
,,394,,83A-tai,{},,,35928,35928
,,394,,83A-tgh,{},,,35851,35851
,,394,,83A-tgn,{},,,43381,43381
,,394,,83A-tuk,{},,,42817,42817
,,394,,83A-tki,{},,,33262,33262
,,394,,83A-tum,{},,,43602,43602
,,394,,83A-tnk,{},,,44146,44146
,,394,,83A-tpr,{},,,32222,32222
,,394,,83A-tna,{},,,35110,35110
,,394,,83A-tzo,{},,,50663,50663
,,394,,83A-tzu,{},,,50745,50745
,,394,,83A-ukr,{},,,38455,38455
,,394,,83A-uld,{},,,36180,36180
,,394,,83A-uli,{},,,73039,73039
,,394,,83A-ura,{},,,44507,44507
,,394,,83A-url,{},,,43149,43149
,,394,,83A-urt,{},,,67725,67725
,,394,,83A-ven,{},,,34173,34173
,,394,,83A-vie,{},,,42060,42060
,,394,,83A-vnm,{},,,64531,64531
,,394,,83A-wwa,{},,,65306,65306
,,394,,83A-wal,{},,,46975,46975
,,394,,83A-wam,{},,,47832,47832
,,394,,83A-wry,{},,,57484,57484
,,394,,83A-wrk,{},,,57235,57235
,,394,,83A-wrm,{},,,46912,46912
,,394,,83A-war,{},,,53284,53284
,,394,,83A-wrn,{},,,57575,57575
,,394,,83A-wrb,{},,,56561,56561
,,394,,83A-wth,{},,,48643,48643
,,394,,83A-wel,{},,,38113,38113
,,394,,83A-wec,{},,,60529,60529
,,394,,83A-wem,{},,,48624,48624
,,394,,83A-wma,{},,,46775,46775
,,394,,83A-wch,{},,,53555,53555
,,394,,83A-wol,{},,,44796,44796
,,394,,83A-wlo,{},,,42800,42800
,,394,,83A-wlf,{},,,31755,31755
,,394,,83A-wya,{},,,57391,57391
,,394,,83A-xam,{},,,31414,31414
,,394,,83A-xar,{},,,66264,66264
,,394,,83A-xho,{},,,34211,34211
,,394,,83A-xoo,{},,,31401,31401
,,394,,83A-yag,{},,,53309,53309
,,394,,83A-yao,{},,,34078,34078
,,394,,83A-yap,{},,,44656,44656
,,394,,83A-ywl,{},,,50263,50263
,,394,,83A-yay,{},,,42333,42333
,,394,,83A-yin,{},,,48853,48853
,,394,,83A-yng,{},,,56994,56994
,,394,,83A-yok,{},,,50242,50242
,,394,,83A-yor,{},,,32683,32683
,,394,,83A-ycn,{},,,74011,74011
,,394,,83A-yul,{},,,35510,35510
,,394,,83A-zan,{},,,32350,32350
,,394,,83A-zpr,{},,,52449,52449
,,394,,83A-zai,{},,,51411,51411
,,394,,83A-zap,{},,,51437,51437
,,394,,83A-zya,{},,,51458,51458
,,394,,83A-zzo,{},,,69067,69067
,,394,,83A-zhn,{},,,76458,76458
,,394,,83A-zch,{},,,57915,57915
,,394,,83A-zqc,{},,,50567,50567
,,394,,83A-zqo,{},,,50587,50587
,,394,,83A-zul,{},,,34234,34234
